fuel,perc,cod_date,regionid
imports,0.0,COD2023110801,1.0
gas,0.0,COD2023110801,1.0
nuclear,0.0,COD2023110801,1.0
other,0.0,COD2023110801,1.0
hydro,18.7,COD2023110801,1.0
solar,0.0,COD2023110801,1.0
wind,81.3,COD2023110801,1.0
biomass,0.0,COD2023110802,1.0
coal,0.0,COD2023110802,1.0
imports,0.0,COD2023110802,1.0
gas,0.0,COD2023110802,1.0
nuclear,0.0,COD2023110802,1.0
other,0.0,COD2023110802,1.0
hydro,15.4,COD2023110802,1.0
solar,0.0,COD2023110802,1.0
wind,84.6,COD2023110802,1.0
biomass,0.0,COD2023110803,1.0
coal,0.0,COD2023110803,1.0
imports,0.0,COD2023110803,1.0
gas,0.0,COD2023110803,1.0
nuclear,0.0,COD2023110803,1.0
other,0.0,COD2023110803,1.0
hydro,10.9,COD2023110803,1.0
solar,0.0,COD2023110803,1.0
wind,89.1,COD2023110803,1.0
biomass,0.0,COD2023110804,1.0
coal,0.0,COD2023110804,1.0
imports,0.0,COD2023110804,1.0
gas,0.0,COD2023110804,1.0
nuclear,0.0,COD2023110804,1.0
other,0.0,COD2023110804,1.0
hydro,10.9,COD2023110804,1.0
solar,0.0,COD2023110804,1.0
wind,89.1,COD2023110804,1.0
biomass,0.0,COD2023110805,1.0
coal,0.0,COD2023110805,1.0
imports,0.0,COD2023110805,1.0
gas,0.0,COD2023110805,1.0
nuclear,0.0,COD2023110805,1.0
other,0.0,COD2023110805,1.0
hydro,10.8,COD2023110805,1.0
solar,0.0,COD2023110805,1.0
wind,89.2,COD2023110805,1.0
biomass,0.0,COD2023110806,1.0
coal,0.0,COD2023110806,1.0
imports,0.0,COD2023110806,1.0
gas,0.0,COD2023110806,1.0
nuclear,0.0,COD2023110806,1.0
other,0.0,COD2023110806,1.0
hydro,12.5,COD2023110806,1.0
solar,0.0,COD2023110806,1.0
wind,87.5,COD2023110806,1.0
biomass,0.0,COD2023110807,1.0
coal,0.0,COD2023110807,1.0
imports,0.0,COD2023110807,1.0
gas,0.0,COD2023110807,1.0
nuclear,0.0,COD2023110807,1.0
other,0.0,COD2023110807,1.0
hydro,11.0,COD2023110807,1.0
solar,0.0,COD2023110807,1.0
wind,89.0,COD2023110807,1.0
biomass,0.0,COD2023110808,1.0
coal,0.0,COD2023110808,1.0
imports,0.0,COD2023110808,1.0
gas,0.0,COD2023110808,1.0
nuclear,0.0,COD2023110808,1.0
other,0.0,COD2023110808,1.0
hydro,9.5,COD2023110808,1.0
solar,0.0,COD2023110808,1.0
wind,90.5,COD2023110808,1.0
biomass,0.0,COD2023110809,1.0
coal,0.0,COD2023110809,1.0
imports,0.0,COD2023110809,1.0
gas,0.0,COD2023110809,1.0
nuclear,0.0,COD2023110809,1.0
other,0.0,COD2023110809,1.0
hydro,7.8,COD2023110809,1.0
solar,0.0,COD2023110809,1.0
wind,92.2,COD2023110809,1.0
biomass,0.0,COD2023110810,1.0
coal,0.0,COD2023110810,1.0
imports,0.0,COD2023110810,1.0
gas,0.0,COD2023110810,1.0
nuclear,0.0,COD2023110810,1.0
other,0.0,COD2023110810,1.0
hydro,8.5,COD2023110810,1.0
solar,0.0,COD2023110810,1.0
wind,91.5,COD2023110810,1.0
biomass,0.0,COD2023110811,1.0
coal,0.0,COD2023110811,1.0
imports,0.0,COD2023110811,1.0
gas,0.0,COD2023110811,1.0
nuclear,0.0,COD2023110811,1.0
other,0.0,COD2023110811,1.0
hydro,5.2,COD2023110811,1.0
solar,0.0,COD2023110811,1.0
wind,94.8,COD2023110811,1.0
biomass,0.0,COD2023110812,1.0
coal,0.0,COD2023110812,1.0
imports,0.0,COD2023110812,1.0
gas,0.0,COD2023110812,1.0
nuclear,0.0,COD2023110812,1.0
other,0.0,COD2023110812,1.0
hydro,8.0,COD2023110812,1.0
solar,0.0,COD2023110812,1.0
wind,92.0,COD2023110812,1.0
biomass,0.0,COD2023110813,1.0
coal,0.0,COD2023110813,1.0
imports,0.0,COD2023110813,1.0
gas,0.0,COD2023110813,1.0
nuclear,0.0,COD2023110813,1.0
other,0.0,COD2023110813,1.0
hydro,9.7,COD2023110813,1.0
solar,0.0,COD2023110813,1.0
wind,90.3,COD2023110813,1.0
biomass,0.0,COD2023110814,1.0
coal,0.0,COD2023110814,1.0
imports,0.0,COD2023110814,1.0
gas,0.0,COD2023110814,1.0
nuclear,0.0,COD2023110814,1.0
other,0.0,COD2023110814,1.0
hydro,9.4,COD2023110814,1.0
solar,0.0,COD2023110814,1.0
wind,90.6,COD2023110814,1.0
biomass,0.0,COD2023110815,1.0
coal,0.0,COD2023110815,1.0
imports,0.0,COD2023110815,1.0
gas,0.0,COD2023110815,1.0
nuclear,0.0,COD2023110815,1.0
other,0.0,COD2023110815,1.0
hydro,6.4,COD2023110815,1.0
solar,0.0,COD2023110815,1.0
wind,93.6,COD2023110815,1.0
biomass,0.0,COD2023110816,1.0
coal,0.0,COD2023110816,1.0
imports,0.0,COD2023110816,1.0
